host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_verifications,host_has_profile_pic,host_identity_verified
3844024,2012-10-12,"Seattle, Washington, United States",within a few hours,100.0,100.0,True,Belltown,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",True,t
23267204,2014-11-02,"Seattle, Washington, United States",within a day,80.0,100.0,True,,1.0,"['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'kba']",True,t
13671982,2014-03-29,"Seattle, Washington, United States",within a day,50.0,-1.0,True,Belltown,1.0,"['email', 'phone', 'google', 'linkedin', 'reviews', 'jumio']",True,t
46390650,2015-10-12,"Seattle, Washington, United States",Unknown,,-1.0,True,Pike Place Market,1.0,"['email', 'phone', 'google', 'kba']",True,t
23312083,2014-11-03,"Seattle, Washington, United States",within an hour,76.0,100.0,True,Belltown,3.0,"['email', 'phone', 'facebook', 'google', 'reviews', 'jumio', 'kba']",True,t
10372748,2013-12-01,"Los Angeles, California, United States",within a day,64.0,100.0,True,Hollywood,10.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",True,t
4874276,2013-01-28,"Seattle, Washington, United States",within an hour,100.0,100.0,True,Belltown,5.0,"['email', 'phone', 'reviews', 'kba']",True,t
38471924,2015-07-14,US,within an hour,100.0,100.0,True,Magnolia,1.0,"['email', 'phone', 'reviews', 'jumio']",True,t
844971,2011-07-20,"Seattle, Washington, United States",within an hour,100.0,100.0,True,Magnolia,1.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'kba']",True,t
36944932,2015-06-28,"Seattle, Washington, United States",Unknown,,-1.0,True,Magnolia,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,t
22680126,2014-10-18,"Palo Alto, California, United States",within a day,100.0,-1.0,True,Magnolia,1.0,"['email', 'phone', 'facebook', 'google', 'reviews', 'jumio']",True,t
4299635,2012-12-02,"Seattle, Washington, United States",within an hour,100.0,100.0,True,,1.0,"['email', 'phone', 'kba']",True,f
3009864,2012-07-21,"Seattle, Washington, United States",within a few hours,100.0,100.0,True,Magnolia,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,t
3621132,2012-09-19,"Seattle, Washington, United States",within a day,67.0,-1.0,True,Magnolia,1.0,"['email', 'phone']",True,f
40415712,2015-08-03,"Seattle, Washington, United States",Unknown,,-1.0,True,Magnolia,1.0,"['email', 'phone']",True,f
43137237,2015-09-01,"Seattle, Washington, United States",within a few hours,100.0,100.0,True,Magnolia,1.0,"['email', 'phone', 'reviews']",True,f
5894733,2013-04-12,"Seattle, Washington, United States",within a few hours,67.0,-1.0,True,,1.0,"['email', 'phone', 'reviews', 'kba']",True,t
5630551,2013-03-26,"Seattle, Washington, United States",Unknown,,-1.0,True,,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",True,t
43770930,2015-09-09,"Seattle, Washington, United States",Unknown,,100.0,True,Magnolia,1.0,"['phone', 'reviews']",True,f
2433229,2012-05-22,"Seattle, Washington, United States",within an hour,100.0,100.0,True,Magnolia,1.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'jumio']",True,t
42393640,2015-08-24,"Seattle, Washington, United States",within a few hours,100.0,100.0,True,Magnolia,1.0,"['email', 'phone', 'reviews']",True,f
46478451,2015-10-13,"Seattle, Washington, United States",within a few hours,100.0,-1.0,True,Magnolia,1.0,"['email', 'phone']",True,f
11266036,2014-01-13,"Seattle, Washington, United States",within an hour,94.0,100.0,True,Magnolia,4.0,"['email', 'phone', 'google', 'linkedin', 'reviews', 'jumio']",True,t
5011779,2013-02-08,"Seattle, Washington, United States",within an hour,100.0,100.0,True,Magnolia,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,t
16929371,2014-06-17,"Seattle, Washington, United States",within an hour,100.0,100.0,True,Magnolia,2.0,"['email', 'phone', 'reviews', 'jumio']",True,t
9577961,2013-10-22,"Seattle, Washington, United States",within a day,100.0,-1.0,True,Magnolia,2.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,t
28822480,2015-03-05,US,a few days or more,33.0,100.0,True,Magnolia,1.0,"['email', 'phone', 'facebook', 'reviews']",True,f
29051256,2015-03-09,"Seattle, Washington, United States",within an hour,100.0,100.0,True,Belltown,4.0,"['phone', 'linkedin', 'reviews', 'kba']",True,f
209571,2010-08-22,"Seattle, Washington, United States",within an hour,100.0,100.0,True,Magnolia,1.0,"['email', 'phone', 'facebook', 'reviews', 'kba']",True,t
12648641,2014-02-27,"Seattle, Washington, United States",within a day,50.0,100.0,True,Magnolia,1.0,"['email', 'phone', 'google', 'reviews', 'kba']",True,t
3497328,2012-09-07,"Seattle, Washington, United States",within a day,100.0,100.0,True,Magnolia,4.0,"['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'kba']",True,t
33515006,2015-05-16,"Seattle, Washington, United States",within an hour,100.0,100.0,True,Magnolia,1.0,"['email', 'phone', 'facebook', 'linkedin', 'reviews', 'jumio']",True,t
